,Date,Value
709,28.09.2016,1958675456.79
710,29.09.2016,1964068337.81
711,02.10.2016,2023376317.52
712,03.10.2016,2023620570.09
713,04.10.2016,2023299601.67
714,05.10.2016,1988738654.83
715,06.10.2016,2050728247.92
716,09.10.2016,2056556368.2
717,10.10.2016,2070051255.86
718,11.10.2016,2023691678.43
719,12.10.2016,2028233400.44
720,13.10.2016,1968326582.71
721,16.10.2016,1922986642.81
722,17.10.2016,1931831249.94
723,18.10.2016,1985186612.75
724,19.10.2016,2045209123.43
725,20.10.2016,2038548075.51
726,23.10.2016,2047958225.71
727,24.10.2016,2071346438.81
728,25.10.2016,2095171100.72
729,26.10.2016,2100458837.09
730,27.10.2016,2106118774.53
731,30.10.2016,2103352546.59
732,31.10.2016,2064586331.57
733,01.11.2016,2066690277.33
734,02.11.2016,2083134928.31
735,06.11.2016,2091536527.19
736,07.11.2016,2157844587.51
737,08.11.2016,2164076743.94
738,09.11.2016,2050459591.95
739,10.11.2016,2057902795.72
740,13.11.2016,2078892615.87
741,14.11.2016,2083460109.56
742,15.11.2016,2096304959.76
743,16.11.2016,2153706095.0
744,17.11.2016,2160403994.18
745,20.11.2016,2178178778.96
746,21.11.2016,2206860698.45
747,22.11.2016,2219764333.9
748,23.11.2016,2376355452.59
749,24.11.2016,2198996672.9
750,27.11.2016,2319574289.8
751,28.11.2016,2336092713.01
752,29.11.2016,2334727041.73
753,30.11.2016,2267200857.31
754,01.12.2016,2398138244.45
755,04.12.2016,2416196089.02
756,05.12.2016,2443996518.92
757,06.12.2016,2442577735.69
758,07.12.2016,2460353401.86
759,08.12.2016,2474350021.3
760,11.12.2016,2476738646.1
761,12.12.2016,2503227953.45
762,13.12.2016,2514472764.04
763,14.12.2016,2524396010.5
764,15.12.2016,2536214833.5
765,18.12.2016,2448467430.08
766,19.12.2016,2432324029.42
767,20.12.2016,2514856355.86
768,21.12.2016,2543982455.34
769,22.12.2016,2601625999.79
770,25.12.2016,2674426543.44
771,26.12.2016,2718502173.83
772,27.12.2016,2797895242.73
773,28.12.2016,2810836386.51
774,29.12.2016,2819475919.05
775,08.01.2017,2739941635.48
776,09.01.2017,2747551114.66
777,10.01.2017,2713494335.15
778,11.01.2017,2684579396.87
779,12.01.2017,2781954683.71
780,15.01.2017,2903860476.17
781,16.01.2017,3023698679.8
782,17.01.2017,3040122719.87
783,18.01.2017,3001918183.89
784,19.01.2017,2941308028.13
785,22.01.2017,2975076889.93
786,23.01.2017,3035469025.72
787,24.01.2017,3052824958.35
788,25.01.2017,3062345662.21
789,26.01.2017,3078425615.58
790,29.01.2017,3110695572.73
791,30.01.2017,3108204442.53
792,31.01.2017,3109559328.85
793,01.02.2017,3141881017.32
794,02.02.2017,3036439227.15
795,05.02.2017,3048179355.12
796,06.02.2017,3074718596.03
797,07.02.2017,3113073150.28
798,08.02.2017,3139586359.2
799,09.02.2017,3175110382.25
800,12.02.2017,3211376439.13
801,13.02.2017,3235152274.99
802,14.02.2017,3262975264.64
803,15.02.2017,3287044197.89
804,16.02.2017,3348538933.5
805,19.02.2017,3400971449.37
806,20.02.2017,3426988215.27
807,21.02.2017,3470013383.99
808,26.02.2017,3741355796.09
809,27.02.2017,3823294816.81
810,28.02.2017,3860173086.0
811,01.03.2017,3911765253.08
812,02.03.2017,3828671416.91
813,05.03.2017,3898000193.78
814,06.03.2017,3952273429.32
815,08.03.2017,4025101428.38
816,09.03.2017,4104136364.09
817,12.03.2017,4237000463.52
818,13.03.2017,4277921345.41
819,14.03.2017,4322542168.75
820,15.03.2017,4383499089.98
821,16.03.2017,4427388893.56
822,19.03.2017,4486681339.74
823,20.03.2017,4508295715.5
824,21.03.2017,4542745553.55
825,22.03.2017,4613025632.49
826,23.03.2017,4653734534.64
827,26.03.2017,4758887711.12
828,27.03.2017,5091091633.27
